Nitu Nair| Bhupendra Chaubey is one of those hypocrite groups - the one who would drool over a sexy girl outside his house but would want his wife to sit at home wearing a saree and cover herself with no revelation of her body, cook all the time for the family members and clean the house. Basically a wife for a house maid.Sunny can speak for her. How the hell will she know what Amir Khan thinks. Rightly said by Sunny, ask Amir on his view.This moron is only asking questions to Sunny which are in his tiny Miny brain. I don't think anyone else has such stupid and disgracing questions in their mind for Sunny.The more this guy talks only about sex and porn star make he feel he is a big fat tthurkey(hindi word).There could be lot other than only focusing on her past that he could interview Sunny on or about.How does it matter to anyone even if she still does porn movies. Ppl who are interested will still watch them. Why ask anyone, this hypocrite interviewer himself will go watch it in the first place.Talking about politicians, they just need some topic to talk about to shine in the parliament and media. The same politicians will get back home tired after their worthless talks and will watch porn whether Sunny is in it or not.Also, rapes in India or in any other country, didn't start after Sunny was born on earth or since she started acting in Porn movies. Ppl still used to have sex in their homes, outside their homes, ppl still used to have extra martial affairs, ppl still used to  masturbate, ppl used to do everything related sex the same way back then as they do after Sunny came into the pic.So, STOP blaming Sunny for manipulating the youth of today.Does the youth of today or yesterday have no brains of their own who can get MANUPULATED by anyone and anything? Are they so naive or they dumb?So please stop the bulshit and stop accessing someone for your deeds.Sunny wasn't there in the ERA of Gandhi, Nehru or Indira Gandhi. They have had their own fun in their own way. And it's a public secret. Everyone knows but no one speaks about it. Are you still gonna say Sunny is responsible for that too?Agar tu mere saamne hota na toh teri khaal kheech leti main sale chutiye.An ideal Woman is not the only ones who wears Saree, does Pooja every morning, cleans the house, cooks for everyone, feed everyone, and has no time for or idea about what's going on in the rest of the world. An ideal women can also wear shorts, she can got out to work, she can eat outside, she can decide not to cook if she doesn't want to, she can have male friends, she can eat before you eat, somedays she can sleep longer than usual if she wants to and much more.No one has the rights to define AN IDEAL WOMAN.
sabiha mou| Everyone have a respect for a porn actress slut but they don't have respect for a rape victim....
hasan khan| I wish ur daughter shall give same interview one day u filthy dirty cocky vomit eater shit eater fuck you
hasan khan| Bhupendra kutte saale fuck yourself u filthy bald hedious looking ugly mother fucker , she is far far far far far more better than u cock sucker u r not letting her to speak , we love and respect the gutts of sunny but we hate you yes we hate you look at your fucken fucken fucken face u baaaaaaaastard ..........
shruti singh| Such a cheap person he is..n carrying cheap mantality..😈
G SS| Thug life sunny ....RESPECT!!!!!!!
JUST Nabeel| She is such a polite person
Sivangi Debnath| I just hate this man
Puja Singh| Stupid person..go first take interview of rapist n ask disgusting questions like these.
Allu Anusha| i gues he watch evey porn videos in the world so only he is so confident i askng,such as bas......
Khadijah Ibrahim| Whts wrong with Baldyyyy idiot😡😡😡
Rimtim K| This guy is a disrespectful pathetic low life!! Why would he agree to interview her when he clearly has issues against her. I can't believe Sunny tolerated him for the entire interview with a smile on her face. Kudos to you sunny.
rozina ahmed| Past past past past ........  kitna past past karega takle.
RISHABH CHOUDHARY| Chaubey ka lund kaat ke usi ki gaand m daal diya sunny ne
Simran| Such a beautiful, strong lady ♥️♥️♥️♥️ with a beautiful heart ♥️
Naaj Rana| cheap reporter
Haritha Vankayala| This is what ass holes look like!
SaRthaK Chaudhary| Bhupendra...chutiya h Tu..bc
Sally Jane| This like to dislike ratio gives me faith in humanity.
F N| This guy is a moron.
Namrata Kori| In india people respect such minister ,baba who rape women watch porn movie in assembly .... But people hate people like sunny leone who want to move ahead in their life and work hard
sayli talekar| I think whatever she is doing or has done in past is her choice its non of his business ..  more over when someone has changed and moved on a lot in their life don’t ever again and again poke them or remind them about it and make them feel guilty. What happens is always reaction good or bad is a question but moving on and after such a long time reminding again and again is kind of torture. I really believe she is the best example of an indian woman because inspite of the interviewer being so rude and hurtful she is calm and patient. There is a lot to learn from her. Mistakes happen from everyone but moving on and growing into an individual with so much of courage love kindness and calmness is something everyone should respect. Proud of you karanjit. Will always be no matter whatever decision you take. Purity at heart ❤️love for you sister
Prachitee Joshi| Came here because of Sunny, watched the entire thing because of Sunny, disliked because of this narrow minded, bald dick, Chaubey. Simple 💁🏻‍♀️
Apurva Paranjape| How the hell did the Channel approve these questions? What the fuck IBN?
Apurva Paranjape| I really hope that baldy was fired after this. More power to you girl!
Deeksha Poojary| The lady managed to remain calm throughout the interviewer's nonsensical questioning and direct insults. She is a true professional.
prachi khattri| She gracefully handled every question asked by that moron anchor. Well done sunny.
Tusharika Verma| This guy is a loser
suchita khopkar| He's just asking her about regrets, mistakes, disappointment, shame, what made her feel bad, inhabitation, why big stars don't work with her, past (porn career). What a dick, seriously!!! 😶
Samruddhi Patil| The interviewer is treating her very badly & I have started not liking him already, questions are too bitter cold but the answers & patience w which Sunny's answered gained my respect for her.
Ayshwarya Rashi| Luv da confidence she had.... Did nt evn loose a cool fr a sec... Respect
Meghna Banerjee| Would not take me a minute to slap this guy. You single handedly represent how "nasty" indian mentalities could get. I am heavily ashamed that i am a citizen of a country whre people get away with such interviews. I am not a huge fan of sunny leone bt i still have some humanity left to respect another person. Please do learn it Mr. Interviwer, hopefully then you be as succesful as sunny leone is. #ASHAMED of #indianMEDIA
Tizerrn Cassandra| The interviewer is quiet ignorant forcing her to tell she needs to regret on her past as a porn star
kaisha mitra| The Interviewer is so insensitive .Every question of his is so insulting. He needs to first learn how to respect a woman and then further move to other works in his life .
Anmol Goel| Ye addmi bada harami laga meko sale ki gaand tod dunga agar milgya meko to
Krishna Bohidar| I just wonder why this man is asking such offensive things to sunny leone and kudos to sunny leone she handled so nicely
Digital Learner| ye wahilog hai jinka dekhte hue zyada buffering hota hai
nupur tiwari| Everyone has their past... Love u sunny... She is a nice human being
NITHISHA RAO| Honest, Realist, Real Human..awesome Sunny
Bhupi chahal| Wow she is slapping that idiot every single second.
ankita doshi| Absolute respect for sunny leone keeping a calm and composed demeanour while Bhupendra Chaubey absolutely lashed out with his negativity and close minded views
sayani chakraborty| The journalist repeatedly wants to ask the same set of questions ghuma firakey.. unless he gets to hear what he wants to.. huge respect towards sunny.. her patience.. hatts off.. n this moron journalist just want to say plzz shut up...
Meghashree Bhattacharya| She is too mature to handle this person
Ishu B| I hope he looses his job after this interview!!
Tasnuva Ahmed Esha| hey, the worst interviewer ever, you should let her stop her words first, its an common sense and also a simple but important rule of interview ... um feeling like slap him in public... he should die... >_<
Meera Prasad| Huge fan of your attitude Ma'am!!! Hats off!!!!!
Akanksha14| Unbelievable.. this man is so pathetic!! I respect her so much for keeping her cool. I think she did succeed in changing mindsets of people who have a stereotypical view about her but this man , towards the end too he had the audacity to say "may be I am being morally corrupted by sitting with you" , what a smart reply by Sunny to such a douche. How could a news channel like IBN allow an interviewer to be so disrespectful and sexist. Does this guy still host interviews? I really hope not!
alisha| I mean MLAs are caught watching porn and no one even remembers their faces and here this girl is having to defend herself
alisha| Such a cheap interviewer!
alisha| Poor girl. It's the guys who see her who should be embarrassed.. why should she feel bad about herself
Ankit Roy| You are paid to sit and talk to me and I am paid to sit and talk to you..that's how it works...sunny u are gem ..we love you
Navneet Rai| Bkwaas kr rya betha..bewkuf
radhika ved| He is so irritating and immature. It's sad.
Akshada Pandit| There is no need for u to work with any great star...  Sunny u r the super star.. I really admire you..
